InputName,FeedbackTag,PLCAddress,ExtReferenceTag1,IncTag1,IncTag2,IncTag3,DecTag1,DecTag2,DecTag3,IncROC,DecROC,Integrating,AndORMode,FixedValue
A4_1_2DT1,A4_1_2DT1.Channel,10.20.20.201/3,0,0,0,0,0,0,0,0,0,0,0,0
A4_1_2PDT1,A4_1_2PDT1.Channel,10.20.20.201/3,0,0,0,0,0,0,0,0,0,0,0,0
A5_1_0PT1,A5_1_0PT1.Channel,10.20.20.201/3,0,0,0,0,0,0,0,0,0,0,0,0
A5_1_0PT2,A5_1_0PT2.Channel,10.20.20.201/3,0,0,0,0,0,0,0,0,0,0,0,0
A5_1_0PT3,A5_1_0PT3.Channel,10.20.20.201/3,0,0,0,0,0,0,0,0,0,0,0,0
A5_1_0PT4,A5_1_0PT4.Channel,10.20.20.201/3,0,0,0,0,0,0,0,0,0,0,0,0
A5_1_0TT1,A5_1_0TT1.Channel,10.20.20.201/3,0,0,0,0,0,0,0,0,0,0,0,0
A5_1_0TT2,A5_1_0TT2.Channel,10.20.20.201/3,0,0,0,0,0,0,0,0,0,0,0,0
A5_1_1FT3,A5_1_1FT3.Channel,10.20.20.201/3,0,0,0,0,0,0,0,0,0,0,0,0
A5_1_1PDT2,A5_1_1PDT2.Channel,10.20.20.201/3,0,0,0,0,0,0,0,0,0,0,0,0
A5_1_1PIT1,A5_1_1PIT1.Channel,10.20.20.201/3,0,0,0,0,0,0,0,0,0,0,0,0
A5_1_1WT4,A5_1_1WT4.Channel,10.20.20.201/3,0,0,0,0,0,0,0,0,0,0,0,0
A5_1_2FT3,A5_1_2FT3.Channel,10.20.20.201/3,0,0,0,0,0,0,0,0,0,0,0,0
A5_1_2PDT2,A5_1_2PDT2.Channel,10.20.20.201/3,0,0,0,0,0,0,0,0,0,0,0,0
A5_1_2PIT1,A5_1_2PIT1.Channel,10.20.20.201/3,0,0,0,0,0,0,0,0,0,0,0,0
A5_1_2WT4,A5_1_2WT4.Channel,10.20.20.201/3,0,0,0,0,0,0,0,0,0,0,0,0
A5_1_3FT3,A5_1_3FT3.Channel,10.20.20.201/3,0,0,0,0,0,0,0,0,0,0,0,0
A5_1_3PDT2,A5_1_3PDT2.Channel,10.20.20.201/3,0,0,0,0,0,0,0,0,0,0,0,0
A5_1_3PIT1,A5_1_3PIT1.Channel,10.20.20.201/3,0,0,0,0,0,0,0,0,0,0,0,0
A5_1_3WT4,A5_1_3WT4.Channel,10.20.20.201/3,0,0,0,0,0,0,0,0,0,0,0,0
A5_2_1FT1,A5_2_1FT1.Channel,10.20.20.201/3,0,0,0,0,0,0,0,0,0,0,0,0
A5_2_1FT1_CON,A5_2_1FT1_CON.Channel,10.20.20.201/3,0,0,0,0,0,0,0,0,0,0,0,0
A5_2_1FT1_SPD,A5_2_1FT1_SPD.Channel,10.20.20.201/3,0,0,0,0,0,0,0,0,0,0,0,0
A5_2_1FT3,A5_2_1FT3.Channel,10.20.20.201/3,0,0,0,0,0,0,0,0,0,0,0,0
A5_2_1PIT1,A5_2_1PIT1.Channel,10.20.20.201/3,0,0,0,0,0,0,0,0,0,0,0,0
A5_2_1PT3,A5_2_1PT3.Channel,10.20.20.201/3,0,0,0,0,0,0,0,0,0,0,0,0
A5_2_1TT3,A5_2_1TT3.Channel,10.20.20.201/3,0,0,0,0,0,0,0,0,0,0,0,0
A5_2_2FT3,A5_2_2FT3.Channel,10.20.20.201/3,0,0,0,0,0,0,0,0,0,0,0,0
A5_2_2PT3,A5_2_2PT3.Channel,10.20.20.201/3,0,0,0,0,0,0,0,0,0,0,0,0
A5_2_2PT41,A5_2_2PT41.Channel,10.20.20.201/3,0,0,0,0,0,0,0,0,0,0,0,0
A5_2_2PT42,A5_2_2PT42.Channel,10.20.20.201/3,0,0,0,0,0,0,0,0,0,0,0,0
A5_2_2PT43,A5_2_2PT43.Channel,10.20.20.201/3,0,0,0,0,0,0,0,0,0,0,0,0
A5_2_2PT44,A5_2_2PT44.Channel,10.20.20.201/3,0,0,0,0,0,0,0,0,0,0,0,0
A5_2_2PT45,A5_2_2PT45.Channel,10.20.20.201/3,0,0,0,0,0,0,0,0,0,0,0,0
A5_2_2PT81,A5_2_2PT81.Channel,10.20.20.201/3,0,0,0,0,0,0,0,0,0,0,0,0
A5_2_2PT82,A5_2_2PT82.Channel,10.20.20.201/3,0,0,0,0,0,0,0,0,0,0,0,0
A5_2_2PT83,A5_2_2PT83.Channel,10.20.20.201/3,0,0,0,0,0,0,0,0,0,0,0,0
A5_2_2PT84,A5_2_2PT84.Channel,10.20.20.201/3,0,0,0,0,0,0,0,0,0,0,0,0
A5_2_2PT85,A5_2_2PT85.Channel,10.20.20.201/3,0,0,0,0,0,0,0,0,0,0,0,0
A5_2_2TT3,A5_2_2TT3.Channel,10.20.20.201/3,0,0,0,0,0,0,0,0,0,0,0,0
A4_1_3DT1,A4_1_3DT1.Channel,10.20.20.201/4,0,0,0,0,0,0,0,0,0,0,0,0
A4_1_3PDT1,A4_1_3PDT1.Channel,10.20.20.201/4,0,0,0,0,0,0,0,0,0,0,0,0
A6_1_0PT1,A6_1_0PT1.Channel,10.20.20.201/4,0,0,0,0,0,0,0,0,0,0,0,0
A6_1_0PT2,A6_1_0PT2.Channel,10.20.20.201/4,0,0,0,0,0,0,0,0,0,0,0,0
A6_1_0PT3,A6_1_0PT3.Channel,10.20.20.201/4,0,0,0,0,0,0,0,0,0,0,0,0
A6_1_0TT1,A6_1_0TT1.Channel,10.20.20.201/4,0,0,0,0,0,0,0,0,0,0,0,0
A6_1_0TT2,A6_1_0TT2.Channel,10.20.20.201/4,0,0,0,0,0,0,0,0,0,0,0,0
A6_1_1FT3,A6_1_1FT3.Channel,10.20.20.201/4,0,0,0,0,0,0,0,0,0,0,0,0
A6_1_1PDT2,A6_1_1PDT2.Channel,10.20.20.201/4,0,0,0,0,0,0,0,0,0,0,0,0
A6_1_1PIT1,A6_1_1PIT1.Channel,10.20.20.201/4,0,0,0,0,0,0,0,0,0,0,0,0
A6_1_1WT4,A6_1_1WT4.Channel,10.20.20.201/4,0,0,0,0,0,0,0,0,0,0,0,0
A6_1_2FT3,A6_1_2FT3.Channel,10.20.20.201/4,0,0,0,0,0,0,0,0,0,0,0,0
A6_1_2PDT2,A6_1_2PDT2.Channel,10.20.20.201/4,0,0,0,0,0,0,0,0,0,0,0,0
A6_1_2PIT1,A6_1_2PIT1.Channel,10.20.20.201/4,0,0,0,0,0,0,0,0,0,0,0,0
A6_1_2WT4,A6_1_2WT4.Channel,10.20.20.201/4,0,0,0,0,0,0,0,0,0,0,0,0
A6_1_3FT3,A6_1_3FT3.Channel,10.20.20.201/4,0,0,0,0,0,0,0,0,0,0,0,0
A6_1_3PDT2,A6_1_3PDT2.Channel,10.20.20.201/4,0,0,0,0,0,0,0,0,0,0,0,0
A6_1_3PIT1,A6_1_3PIT1.Channel,10.20.20.201/4,0,0,0,0,0,0,0,0,0,0,0,0
A6_1_3WT4,A6_1_3WT4.Channel,10.20.20.201/4,0,0,0,0,0,0,0,0,0,0,0,0
A6_2_1FT1,A6_2_1FT1.Channel,10.20.20.201/4,0,0,0,0,0,0,0,0,0,0,0,0
A6_2_1FT1_CON,A6_2_1FT1_CON.Channel,10.20.20.201/4,0,0,0,0,0,0,0,0,0,0,0,0
A6_2_1FT1_SPD,A6_2_1FT1_SPD.Channel,10.20.20.201/4,0,0,0,0,0,0,0,0,0,0,0,0
A6_2_1FT3,A6_2_1FT3.Channel,10.20.20.201/4,0,0,0,0,0,0,0,0,0,0,0,0
A6_2_1PIT1,A6_2_1PIT1.Channel,10.20.20.201/4,0,0,0,0,0,0,0,0,0,0,0,0
A6_2_1PT3,A6_2_1PT3.Channel,10.20.20.201/4,0,0,0,0,0,0,0,0,0,0,0,0
A6_2_1TT3,A6_2_1TT3.Channel,10.20.20.201/4,0,0,0,0,0,0,0,0,0,0,0,0
A6_2_2FT3,A6_2_2FT3.Channel,10.20.20.201/4,0,0,0,0,0,0,0,0,0,0,0,0
A6_2_2PT3,A6_2_2PT3.Channel,10.20.20.201/4,0,0,0,0,0,0,0,0,0,0,0,0
A6_2_2PT41,A6_2_2PT41.Channel,10.20.20.201/4,0,0,0,0,0,0,0,0,0,0,0,0
A6_2_2PT42,A6_2_2PT42.Channel,10.20.20.201/4,0,0,0,0,0,0,0,0,0,0,0,0
A6_2_2PT43,A6_2_2PT43.Channel,10.20.20.201/4,0,0,0,0,0,0,0,0,0,0,0,0
A6_2_2TT3,A6_2_2TT3.Channel,10.20.20.201/4,0,0,0,0,0,0,0,0,0,0,0,0
AI_A5_2HWS_F,AI_A5_2HWS_F.Channel,10.20.20.201/5,0,0,0,0,0,0,0,0,0,0,0,0
AI_A5_2HWS_P1,AI_A5_2HWS_P1.Channel,10.20.20.201/5,0,0,0,0,0,0,0,0,0,0,0,0
AI_A5_2HWS_P2,AI_A5_2HWS_P2.Channel,10.20.20.201/5,0,0,0,0,0,0,0,0,0,0,0,0
AI_A5_2_2PT46,AI_A5_2_2PT46.Channel,10.20.20.201/5,0,0,0,0,0,0,0,0,0,0,0,0
AI_A5_2_2PT47,AI_A5_2_2PT47.Channel,10.20.20.201/5,0,0,0,0,0,0,0,0,0,0,0,0
AI_A5_2_2PT48,AI_A5_2_2PT48.Channel,10.20.20.201/5,0,0,0,0,0,0,0,0,0,0,0,0
AI_A5_2_2PT49,AI_A5_2_2PT49.Channel,10.20.20.201/5,0,0,0,0,0,0,0,0,0,0,0,0
AI_A5_2_2PT86,AI_A5_2_2PT86.Channel,10.20.20.201/5,0,0,0,0,0,0,0,0,0,0,0,0
AI_A5_2_2PT87,AI_A5_2_2PT87.Channel,10.20.20.201/5,0,0,0,0,0,0,0,0,0,0,0,0
AI_A5_2_2PT88,AI_A5_2_2PT88.Channel,10.20.20.201/5,0,0,0,0,0,0,0,0,0,0,0,0
AI_A5_2_2PT89,AI_A5_2_2PT89.Channel,10.20.20.201/5,0,0,0,0,0,0,0,0,0,0,0,0
AI_A5_2_3FT3,AI_A5_2_3FT3.Channel,10.20.20.201/5,0,0,0,0,0,0,0,0,0,0,0,0
AI_A5_2_3PIT1,AI_A5_2_3PIT1.Channel,10.20.20.201/5,0,0,0,0,0,0,0,0,0,0,0,0
AI_A5_2_3PIT2,AI_A5_2_3PIT2.Channel,10.20.20.201/5,0,0,0,0,0,0,0,0,0,0,0,0
AI_A5_2_3PT3,AI_A5_2_3PT3.Channel,10.20.20.201/5,0,0,0,0,0,0,0,0,0,0,0,0
AI_A5_2_3TT3,AI_A5_2_3TT3.Channel,10.20.20.201/5,0,0,0,0,0,0,0,0,0,0,0,0
AI_A5_2_3VC11,AI_A5_2_3VC11.Channel,10.20.20.201/5,0,0,0,0,0,0,0,0,0,0,0,0
AI_A5_2_4PT1,AI_A5_2_4PT1.Channel,10.20.20.201/5,0,0,0,0,0,0,0,0,0,0,0,0
AI_A5_2_5RT01,AI_A5_2_5RT01.Channel,10.20.20.201/5,0,0,0,0,0,0,0,0,0,0,0,0
AI_A5_2_5RT02,AI_A5_2_5RT02.Channel,10.20.20.201/5,0,0,0,0,0,0,0,0,0,0,0,0
AI_A5_2_5RT03,AI_A5_2_5RT03.Channel,10.20.20.201/5,0,0,0,0,0,0,0,0,0,0,0,0
AI_A5_2_5RT04,AI_A5_2_5RT04.Channel,10.20.20.201/5,0,0,0,0,0,0,0,0,0,0,0,0
AI_A5_2_5RT05,AI_A5_2_5RT05.Channel,10.20.20.201/5,0,0,0,0,0,0,0,0,0,0,0,0
AI_A5_2_5RT06,AI_A5_2_5RT06.Channel,10.20.20.201/5,0,0,0,0,0,0,0,0,0,0,0,0
AI_A5_2_5RT07,AI_A5_2_5RT07.Channel,10.20.20.201/5,0,0,0,0,0,0,0,0,0,0,0,0
AI_A5_2_5RT08,AI_A5_2_5RT08.Channel,10.20.20.201/5,0,0,0,0,0,0,0,0,0,0,0,0
AI_A5_2_5RT09,AI_A5_2_5RT09.Channel,10.20.20.201/5,0,0,0,0,0,0,0,0,0,0,0,0
AI_A5_2_5RT10,AI_A5_2_5RT10.Channel,10.20.20.201/5,0,0,0,0,0,0,0,0,0,0,0,0
AI_A5_2_5RT11,AI_A5_2_5RT11.Channel,10.20.20.201/5,0,0,0,0,0,0,0,0,0,0,0,0
AI_A5_2_5RT12,AI_A5_2_5RT12.Channel,10.20.20.201/5,0,0,0,0,0,0,0,0,0,0,0,0
AI_A5_2_5RT13,AI_A5_2_5RT13.Channel,10.20.20.201/5,0,0,0,0,0,0,0,0,0,0,0,0
AI_A5_2_5RT14,AI_A5_2_5RT14.Channel,10.20.20.201/5,0,0,0,0,0,0,0,0,0,0,0,0
AI_A5_2_5RT15,AI_A5_2_5RT15.Channel,10.20.20.201/5,0,0,0,0,0,0,0,0,0,0,0,0
AI_A5_2_5RT16,AI_A5_2_5RT16.Channel,10.20.20.201/5,0,0,0,0,0,0,0,0,0,0,0,0
AI_A5_2_5RT17,AI_A5_2_5RT17.Channel,10.20.20.201/5,0,0,0,0,0,0,0,0,0,0,0,0
AI_A5_2_5RT18,AI_A5_2_5RT18.Channel,10.20.20.201/5,0,0,0,0,0,0,0,0,0,0,0,0
AI_A5_2_5RT19,AI_A5_2_5RT19.Channel,10.20.20.201/5,0,0,0,0,0,0,0,0,0,0,0,0
AI_A5_2_5RT20,AI_A5_2_5RT20.Channel,10.20.20.201/5,0,0,0,0,0,0,0,0,0,0,0,0
AI_A5_2_5RT21,AI_A5_2_5RT21.Channel,10.20.20.201/5,0,0,0,0,0,0,0,0,0,0,0,0
AI_A5_2_5RT22,AI_A5_2_5RT22.Channel,10.20.20.201/5,0,0,0,0,0,0,0,0,0,0,0,0
AI_A5_2_5RT23,AI_A5_2_5RT23.Channel,10.20.20.201/5,0,0,0,0,0,0,0,0,0,0,0,0
AI_A5_2_5RT24,AI_A5_2_5RT24.Channel,10.20.20.201/5,0,0,0,0,0,0,0,0,0,0,0,0
AI_A5_2_5RT25,AI_A5_2_5RT25.Channel,10.20.20.201/5,0,0,0,0,0,0,0,0,0,0,0,0
AI_A5_2_5RT26,AI_A5_2_5RT26.Channel,10.20.20.201/5,0,0,0,0,0,0,0,0,0,0,0,0
AI_A5_2_5RT27,AI_A5_2_5RT27.Channel,10.20.20.201/5,0,0,0,0,0,0,0,0,0,0,0,0
AI_A5_2_5RT28,AI_A5_2_5RT28.Channel,10.20.20.201/5,0,0,0,0,0,0,0,0,0,0,0,0
